1387  2520
19 1 20
38 20 39
57 39 58
76 58 77
95 77 96
114 96 115
133 115 134
152 134 153
171 153 172
190 172 191
209 191 210
228 210 229
247 229 248
266 248 267
285 267 286
304 286 305
323 305 324
342 324 343
361 343 362
380 362 381
399 381 400
418 400 419
437 419 438
456 438 457
475 457 476
494 476 495
513 495 514
532 514 533
551 533 552
570 552 571
589 571 590
608 590 609
627 609 628
646 628 647
665 647 666
684 666 685
704 684 685
723 703 704
742 722 723
761 741 742
780 760 761
799 779 780
818 798 799
837 817 818
856 836 837
875 855 856
894 874 875
913 893 894
932 912 913
951 931 932
970 950 951
989 969 970
1008 988 989
1027 1007 1008
1046 1026 1027
1065 1045 1046
1084 1064 1065
1103 1083 1084
1122 1102 1103
1141 1121 1122
1160 1140 1141
1179 1159 1160
1198 1178 1179
1217 1197 1198
1236 1216 1217
1255 1235 1236
1274 1254 1255
1293 1273 1274
1312 1292 1293
1331 1311 1312
1350 1330 1331
1369 1349 1350
1 2 20
20 2 21
20 21 39
39 21 40
39 40 58
58 40 59
58 59 77
77 59 78
77 78 96
96 78 97
96 97 115
115 97 116
115 116 134
134 116 135
134 135 153
153 135 154
153 154 172
172 154 173
172 173 191
191 173 192
191 192 210
210 192 211
210 211 229
229 211 230
229 230 248
248 230 249
248 249 267
267 249 268
267 268 286
286 268 287
286 287 305
305 287 306
305 306 324
324 306 325
324 325 343
343 325 344
343 344 362
362 344 363
362 363 381
381 363 382
381 382 400
400 382 401
400 401 419
419 401 420
419 420 438
438 420 439
438 439 457
457 439 458
457 458 476
476 458 477
476 477 495
495 477 496
495 496 514
514 496 515
514 515 533
533 515 534
533 534 552
552 534 553
552 553 571
571 553 572
571 572 590
590 572 591
590 591 609
609 591 610
609 610 628
628 610 629
628 629 647
647 629 648
647 648 666
666 648 667
666 667 685
685 667 686
705 704 685
705 685 686
724 723 704
724 704 705
743 742 723
743 723 724
762 761 742
762 742 743
781 780 761
781 761 762
800 799 780
800 780 781
819 818 799
819 799 800
838 837 818
838 818 819
857 856 837
857 837 838
876 875 856
876 856 857
895 894 875
895 875 876
914 913 894
914 894 895
933 932 913
933 913 914
952 951 932
952 932 933
971 970 951
971 951 952
990 989 970
990 970 971
1009 1008 989
1009 989 990
1028 1027 1008
1028 1008 1009
1047 1046 1027
1047 1027 1028
1066 1065 1046
1066 1046 1047
1085 1084 1065
1085 1065 1066
1104 1103 1084
1104 1084 1085
1123 1122 1103
1123 1103 1104
1142 1141 1122
1142 1122 1123
1161 1160 1141
1161 1141 1142
1180 1179 1160
1180 1160 1161
1199 1198 1179
1199 1179 1180
1218 1217 1198
1218 1198 1199
1237 1236 1217
1237 1217 1218
1256 1255 1236
1256 1236 1237
1275 1274 1255
1275 1255 1256
1294 1293 1274
1294 1274 1275
1313 1312 1293
1313 1293 1294
1332 1331 1312
1332 1312 1313
1351 1350 1331
1351 1331 1332
1370 1369 1350
1370 1350 1351
2 3 21
21 3 22
21 22 40
40 22 41
40 41 59
59 41 60
59 60 78
78 60 79
78 79 97
97 79 98
97 98 116
116 98 117
116 117 135
135 117 136
135 136 154
154 136 155
154 155 173
173 155 174
173 174 192
192 174 193
192 193 211
211 193 212
211 212 230
230 212 231
230 231 249
249 231 250
249 250 268
268 250 269
268 269 287
287 269 288
287 288 306
306 288 307
306 307 325
325 307 326
325 326 344
344 326 345
344 345 363
363 345 364
363 364 382
382 364 383
382 383 401
401 383 402
401 402 420
420 402 421
420 421 439
439 421 440
439 440 458
458 440 459
458 459 477
477 459 478
477 478 496
496 478 497
496 497 515
515 497 516
515 516 534
534 516 535
